X,Y,Z,Joint_0,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
0.1103194693751783,0.02822019692605246,-0.07352419394180182,0.9908688339857843,1.5391925916848506,1.775146838146258,-0.0576904137635057,0.972583189301089,-1.6296433450718306,0.014316560129339193
0.0840283550802488,0.0796956950085504,1.3223055437397768,-1.223196354196269,0.7966724187244101,1.0211399865865207,-2.3069058003272156,-0.2187455149098858,1.506832807620928,0.026703429027532817
-0.04111118585224239,0.10566151120456263,-0.2895448710223786,0.9377903177085631,-0.13505227284975163,2.516632458693908,-0.26056994141442447,0.16091736802309264,1.6416524641592365,0.02206379531643595
-0.10167699618603294,0.04973859514860959,1.3531079312211167,-2.956592709297138,-1.2533960165406506,1.3111688651624294,-2.7763111297512997,-0.5565454129967378,-1.6188424646119746,0.001441023357849902
0.13595959811738767,0.033946146717724085,1.3585932432078898,-2.477530841158868,0.7419089851558718,1.3973703902089858,-2.8706459193630094,-0.10646757347621394,1.3937744350419963,0.005110003187012292
-0.09838455912022755,0.35334711052778145,1.3118613488051871,2.634746345193345,0.9953538113824114,1.0217702433571527,-2.830891487818378,-0.0446384705433398,1.6684618556131414,0.016384713076642285
-0.0818522731413672,0.09072088593104985,-0.26678432790015016,-0.11735782859442878,-1.0975806045526972,2.376755070728685,-0.15022487820450525,-0.39223450596007203,1.5385089402527359,0.020393279313645932
-0.47621984217611124,-0.14202357507833172,1.2626905682144212,-0.8185766313319429,-0.4700058570941865,0.8872776377587642,-2.8533824339463636,-0.15158234566179196,-2.5155590145047064,0.012597351135741909
0.11710331373003359,0.10296840908668793,-0.17168995902372317,2.698176851406447,0.10088674285354182,1.69408919574702,-0.07913763677713304,0.09608558389459887,-1.5189666663791443,0.007030581555624733
0.18214002021600462,0.030191750472494137,1.3555521800774504,-0.27086957159155567,0.4112473207524181,1.4152495246187635,-2.861287336306546,-0.103452281132419,-2.010622743632034,0.012443755152038292
0.06993140628677692,0.10013577279515669,1.3656452671807708,1.2957792117899896,0.6373269945676918,1.1925000109479513,-2.7094930505820405,-0.23931982300709165,-1.3826756078433347,0.03161641223545504
